question,gemma3_answer
"Ngokwesicatshulwa, yeyiphi indawo enganxulumananga neMpucuko yeIndus Valley?",2
Yeyiphi kwezi zilandelayo engakhankanywanga njengegama elinokwenzeka leMpucuko Bronze age ekuxoxwe ngalo kwisicatshulwa?,3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo evelisa iinzuzo zexesha elide?",1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo umntu anokuthi ayibeke phambili ukuba ugxile kwinzuzo ekhawulezayo?",4
"Ngokwesicatshulwa, ngubani owahlawula uninzi lweendleko zemfazwe?",4
Leliphi ixesha elafika ngaphambi kwexesha leTemplars?,3
Leliphi ixesha elafika emva kwexesha leTemplars?,1
Loluphi unyango lwezamayeza okanye inkqubo engakhankanywanga njengesetyenziswe ngoogqirha kunye noogqirha botyando ngexesha loBukumkani bamaRoma?,1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engabalelwa kwinkqubela phambili eyenziweyo kwicandelo lezonyango ngexesha loBukumkani bamaRoma?",1
Ukukwazi ukubona kuxhomekeke entweni?,1
Umahluko emehlweni wezinto eziphilayo uxhomekeke entweni?,1
"Ngokwesicatshulwa, yeyiphi ingxelo ngobuSikhism engalibonisa ngokuchanekileyo unqulo?",3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engathathwa njengondoqo wenkqubo yenkolo yamaSikh?",1
"Ngokwesicatshulwa, yintoni enokuthi abantwana abaneAttention Defict Disorder babe nexesha elinzima lokugxila kuyo?",1
"Ngokwesicatshulwa, kutheni abantwana abaneAttention Deficit Disorder bethanda ukuzibandakanya kwizenzo ezinobungozi?",4
"Ngokusekelwe kwiinkcukacha kwisicatshulwa, yeyiphi kwezi ezingengomzekelo wescaffolding?",2
Yeyiphi kwezi zilandelayo engayichazi ngokuchanekileyo ingcamango yescaffolding?,1
"Ngokwezicatshulwa, yeyiphi indawo yeMySpace enokunceda abafundi abanengxaki yokufunda?",3
"Ngokwesicathsulwa, yeyiphi kwezi zilandelayo eyayingeyonxalenye yempendulo kaKrushchev kudushe lwabasebenzi?",3
Yeyiphi kwezi zilandelayo eyayinguye unobangela wodushe lwasePoland?,2
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engazange ichaphazele ubudlelwane phakathi kweUSSR neUSA?",2
Yeyiphi kwezi zilandelayo engayichazi ngokuchanekileyo injongo yokuthumela iinerve impulses kumzimba wonke?,1
Yintoni enokufumaneko kwithafa laseGiza?,3
Yayiyintoni injongo yePhiramidi eNkulu?,2
Ngubani onoxanduva lolwazi lwethu lomtshisi owatshabalalisa itempile?,3
Yeyiphi ingxelo echanekileyo ngokuphathelene nokwakhiwa kwakhona kwetempile kaArtemis?,2
"Ngokwesicatsulwa, leliphi elona xesha lingaphambili izinto eziphilayo zaqala ukuhamba ngeenyawo ezimbini?",1
Yeyiphi kwezi zinto ziphilayo ezazihamba rhoqo ngeenyawo ezimbini?,1
Yintoni umkhosi waselwandle waseGemany wayezama ukuyifeza ngexesha lweWWII?,2
"Ngokusekelwe kwiinkcukacha kwisicatshulwa, ngubani owaba neyona mpumelelo kwimfazwe yaselwandle ngexesha lephulo laseMantla weAtlantic?",1
Yintoni eyayingekho xa amaSiriya eqalisa ukusetyenziswa kwekhalvari?,1
Ziliwa njani iimfazwe ezisebenzisa ikhalvari?,3
"Ngokwesicatshulwa, bungazukumfumana phi ummi oqhelekileyo waseBhabhiloni?",1
Yeyiphi kwezi zilandelayo yayenzelwe ngokukhethekileyo ababingeleli?,2
Ingaba uKumkani uTutankhamun wazuza nini udumo?,3
Yintoni eyenza ukuba uKumkani uTatunkhamun abe ngukumkani owaziwayo waseYiputa?,1
Yintoni eyayingakwazi ukuyenza imbongi engumGrike uHomer?,2
Ngowuphi umGrike odumileyo owazelwa enye into ngaphandle kwimisebenzi ebhaliweyo?,3
Usapho lamaGrike lalilichitha phi ixesha lalo elininzi?,1
Yintoni eyayingabalulekanga kangako kusapho lamaGrike?,3
Yeyiphi kwezi zilandelayo engachazwanga njengomahluko phakathi kwamazwe aseScandinavia?,2
Ngubani owahlala eGreenland kuqala?,1
Leliphi iqela elikhetha ukutya ngaphandle kwezithulo?,3
Yeyiphi kwezi zilandelayo ibingayi kuba yinxalenye yesidlo samandulo samaRoma?,3
"Ngokusekelwe kwisicatshulwa, yeyiphi kwezi zilandelayo engenakwenzeka ukuba ibe nempembelelo ehlala ihleli?",2
"Ngokwesicatshulwa, yintoni eyandulela isizwe?",1
Yeyiphi ingxelo ngeDrukgyal Dzong engenonyani?,1
Yeyiphi ingxelo echaza ngokuchanekileyo isiphumo somlilo eDrukgyal Dzong?,1
Zeziphi iingxelo kwezi zilandelayo ngeCambodia eziyinyani?,4
Zeziphi iingxelo kwezi zilandelayo ezichaza ngokuchanekileyo uhlaselo lwaseCambodia?,4
Yeyiphi kwezi zilandelayo engenziwanga yiNkampani yeDutch East India ngexesha layo eTaiwan?,4
Samisa ntoni Isivumelwano saseShimonoseki?,4
Lilinganiswa njani inqanaba lepH yekhemikali?,3
Yinto eyasuswa kwii-ioni zeHydrogen?,1
Zeziphi iingxelo kwezi zilandelayo ezingachazi ngokuchanekileyo iqela leengonyama?,2
Zeziphi iingxelo kwezi zilandelayo ezingachazi ngokuchanekileyo ukuziphatha kweengonyama?,2
Imivundla lixhoba eliqhelekileyo loluphi uhlobo lwesilwanyana?,3
Iikati ezincinci ziqhele ukuzingela eziphi kwezi zilandelayo?,1
Yeyiphi kwezi zilandelayo engeyonxalenye yendlela yokuzingela yeocelot?,4
Yeyiphi kwezi zilandelayo ezingayichazi ngokuchanekileyo iocelot?,3
Yeyiphi kwezi zilandelayo engayi kuthathwa njengawona amandla engwe?,3
"Ngokwesicatshulwa, zeziphi kwezi eyingumahluko phakathi kweengwe neengonyama?",1
"Ngokwesicatshulwa, wayesenza ntoni uRobert Hooke phambi kwezinye iingcali zebhayoloji?",1
Ithetha ukuthini imvelaphi yegama elithi “iseli”?,2
"Ngokwesicatshulwa, ununzi lwezilwanyana zikwazi ukwenza ntoni?",2
"Ngokwesicatshulwa, yintoni ezingenayo ezinye izilwanyana?",1
Yintoni enceda izityalo kwinkqubo yephotosynthesis?,4
Yintoni ekutshwa ngabantu ephefumlwa zizityalo?,2
"Ngokwesicatshulwa , yeyiphi imizekelo kule ilandelayo eya kuthintela inkqubo yendalelo?",2
Zeziphi iingxelo kwezi zilandelayo ezingachazi ngokuchanekileyo inkqubo yokwenziwa kweentlobo zezinto eziphilayo ezintsha nezahlukileyo ngexesha lendaleko? ,1
Yeyiphi inxalenye yenkqubo yokujokeleza kwegazi ezisa igazi entliziyweni?,2
Yeyiphi imibhobho eyona mincinane kwinkqubo yokujikeleza kwegazi?,3
Isakhono sesinambuzane sokusonga amaphiko azo ngasemva kwandisa eziphi kwezi zilandelayo?,2
Yeyiphi kwezi zilandelayo engakhankanywanga kwisicatshulwa njengento echatshazelwa kukukwazi ukubhabha kwesinambuzane?,2
Yeyiphi kwezi mpawu zilandelayo engaqhelanga ukudityanyaniswa needinosaurs?,1
Yeyiphi kwezi engaqhelanga njengophawu iintaka needinosaurs ezabelana ngalo?,2
"Ngokwesicatshulwa, yeyiphi indawo yesityalo icycad enokuthi ityiwe yiTriceratops?",1
Ngokwesicatshulwa yeyiphi kwezi zilandelayo enokuthi ityiwe yiTriceratops? ,2
"Ngokwesicatshulwa, yeyiphi kule midlalo ilandelayo ekunokwenzeka ukuba idume kakhulu kwimimandla yasemantla yaseItaly?",1
"Ngokusekelwe kwiinkcukacha ezinikwe kwisicatshulwa, ngowuphi kule midlalo ilandelayo buphumelele iItaly ubuntshatsheli behlabathi?",1
Iindawo ezithile zeLuxembourh zabayiBelgium emva kwesiphi isiganeko?,2
Yeyiphi kwezi zilandelayo eyachaphazela ukungakhethi cala kweLuxumbourg?,3
Zingaphi izquare zeeikhilomitha zendawo yonke yaseTurkey ezise Europe?,4
"Ngokwesicatshulwa, ubude beTurkey buzimayile ezingaphi?",1
Ulwimi lwesiLatin lusetyenziselwa ntoni kwiSixeko saseVetican?,1
"kwiSixeko saseVetican, yintoni isiItalian esingasetyenziselwa yona?",2
"Ngokwecatshulwa, yeyiphi kwezi zilandelayo ezizinzuzo zokuxuba isandi kwiikhompyutha eziphucukileyo?",1
"Ngokwesicatshulwa, luninzi lwamakhaya kweyiphi indawo elalinezindlu zangasese ezigungxulwayo?",1
Zeziphi iindawo kwezi zilandelayo ekwafunyanwa kuzo iinkqubo zogutyulo eziphambili?,1
Yeyiphi kwezi zilandelayo ebangela ukuba umtyibilizi ajike?,2
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo ezichaza ngokucanekileyo umngxuma kwibhleyidi okwibala yesityibilizi sanamhlanje somkhenkce?",2
"Ngokwesicatshulwa, yintoni inkqubo evumela ukuba iiathom zisuse amandla agqithisileyo ekukhanyeni?",2
Yintoni ebangela ukuba iathom ikhuphe iphoton?,2
"Ngokwesicatshulwa, yintoni eya kubangela ukuba ibhalbhu yesibane iyeke ukusebenza ekugqibeleni?",2
Yeyiphi kwezi zilandelayo enokuba yingozi ukuyibamba ngelixa utshintsha ibhalbhu yesibane?,4
"Ngokwesicatshulwa, kwenzeka ntoni xa umbindi isahlukana?",2
Yeyiphi kwezi zilandelayo ebonisa umnxeba womgama omde ubuyela emhlabeni,2
Yeyiphi kwezi esetyenziselwa ukubeka iteleskopu emajukujukwini?,2
Yeyiphi ekufuneka eqatshelwe ngesehlo somjikelo ukuze kulandelwe ukuhamba kwexesha?,2
"Ngokwesicatshulwa, ixesha lisetyenziswa ukuthelekisa omphi umba wesehlo?",1
"Ngokwesicatshulwa, yeyiphi kwezi zilandayoethathwa njengesiqhelo kwindlalifa yetrone?",4
"Ngokusekelwe kwiinkcukacha kwisicatshulwa, uCharles wayengowokuqala ukwenza ntoni?",3
Izikhephe zikaTrygvasson wayevela kweliphi ilizwe?,4
IGermany yaba nempembelelo enamandla eEstonia ngeliphi ixesha embalini?,4
Ulwimi lwaseEstonia laphenjelelwa yintoni?,3
"Ngokwesicatshulwa, inani labantu abathetha isiHindi bomthonyama luyatshintshantshintsha ngokusekelwe kweyiphi imeko?",1
Yeyiphi kwezi zilandelayo eyingxelo echanekileyo ngeelwimi zesiHindi nesiUrdu?,2
Yeyiphi kwezi zilandelayo engeyiyo inyani echanekileyo ngealfabhethi yesHangeul?,1
Ialfabhethi Hunmin Jeongeum ekugqibeleni yatshintshwa yaba yintoni?,2
"Ngokwesicathsulwa, zeziphi iilwimi eziphenjelelwe sisiSanskrit?",1
"Ngokwesicatshulwa, ukusetyenziswa kwesiSanskrit kwancitshiswa ngenxa yantoni?",1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo eyingxelo echanekileyo ngomxhuzulane kwu lo?",1
"Ngokwesicatshulwa, zeziphi iingxelo kwezi zilandelayo ezichaza ngokuchanekileyo umaleko ongaphandle wenyanga?",1
"Ngokwesicatshulwa, lubanzi phi uqweqwe lwenyanga?",1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo ekholelwa ngabantu abathile?",3
Yintoni enciphayo ngakumbi xa usuka embindini welanga?,3
"Ngokwesicatshulwa, yeyiphi inxalenye yelanga ebonakalayo eMhlabeni?",1
Yeyiphi kule ngcamango ilandelayo eyanceda ukugqina ithiyori kaCopernicus?,2
Yeyiphi kwezi zilandelayo eyabonwa nguGalilei ngo 1610?,1
"Ngokwesicatshulwa, umlambo weAmazon iwaqokelela phi amanzi?",1
Loluphi iwonga elingabalelwanga kumlambo weAmazon?,1
Ngowuphi umsebenzi okhankanywe kwisicatshulwa oqesha inani elincinci labantu baseVenezuela?,1
"Ngokwesicatshulwa, leliphi kula macandelo alandelayo aqeshe elona nani likhulu labantu baseVenezuela?",1
"Ngokwesicatshulwa, ukudibana kokukhanya kweenuclei ezimbini kuvumela ukuba iinkwenkwezi zenze ntoni?",1
Yeyiphi kwezi zilandelayo enokwenziwa yireactor yokudibana kokukhanya kweenuclei ezimbini?,1
Amanzi enziwe ngantoni?,1
"Xa amanzi etshintsha imbonakalo, yintoni eya kuhlala injalo?",1
"Ngokwesicatshulwa, yeyiphi kwei zilandelayo yayingengomba kumazwe alishumi elinesithathu xa ezama ukumisela imithetho ethile?",4
"Ngokwesicatshulwa, yeyiphi ingxelo ebonisa ngokuchanekileyo imeko karhulumente ophakathi ngexesha lweMfazwe yeNguqu?",2
Abhalwe njani amagama emva kweSibhengezo sokuZimela?,3
iSingapore idume ngeyiphi kwezi zilandelayo?,1
Yintoni iVanda Miss Joaquim?,2
"Ngokwesicatshulwa, ngowuphi umgangatho weephiramidi zaseGiza owawungazukumangalisa ubukumkani obutsha base-Egypt",3
"Ngokwesicatshulwa, izilwanyana ezitya izityalo zisuka phi zilandela imvula?",3
"Ngokwesicatshulwa, izilwanyana ezitya izityalo zisuka kweyiphi indawo kwixesha lenyanga yeTshazimpuzi?",1
iOperation Sealion yayiluhlaselo leliphi ilizwe?,1
iGermany yayilubiza ntoni uhlaselo lwaseBritain?,2
Yintoni engakhankanywanga njengonyathelo oluyimfuneko kwisicwangciso seItaly sokubamba amazwe aseAfrica?,3
"Ngokwesicatshulwa, yintoni eyayithathwa njengeyona njongo iphambili yeItaly kwimfazwe?",1
Ngubani owaseka ubudlelwane obuhle nabahlaseli?,2
Ngoobanii abalingani ababandakanyeke kwiOperation Dragoon?,1
Luphuhliso lweyiphi iteknoloji elwabangela iinkwili ziqale ukuhamba phantsi kwamanzi?,1
"Ngexesha lokusetyenziswa kwazo kokuqala, iinkwili zazinokufikelela okulinganiselweyo kakhulu kweyiphi indawo?",3
"Ngokwesicatshulwa, ngubani owaphula isivumelwano? ",4
Zezphi kwezi zilandela ezingazange zenziwe NgumKhosi Obomvu?,3
Kwenzeka ntoni kwiNjneli-eyiNtloko yoMkhosi weShumi yaseItaly?,3
Wabulawa phi uBalbo?,4
